#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9091 , 183032 , 278.29229 , 8.16292 , 1.67917 , 6.66447 , 111.82594 , 89.74726 , 7.45506 ,  , 5.71405 , 0.00000 , 7.45506 , 5.28801 , 5.00000 , 0.93341 , 15.97722 , quad , 0.14801 , 137.04511 
9092 , 952038 , 109.77188 , 10.02422 , 1.16110 , 8.85304 , 292.39807 , 31.16375 , 19.49320 ,  , 7.01695 , 0.00000 , 19.49320 , 2.85758 , 5.00000 , 0.89942 , 17.31638 , quad , 0.27591 , 488.17645 
9093 , 419237 , 120.72408 , 12.12908 , 2.15902 , 13.01673 , 146.19941 , 20.08798 , 9.74663 ,  , 8.49036 , 0.00000 , 9.74663 , 2.23587 , 5.00000 , 0.96375 , 17.97008 , quad , -5.67384 , 346.33780 
9094 , 795954 , 246.00119 , 11.97475 , 0.47604 , 12.71223 , 249.77512 , 56.81298 , 16.65167 ,  , 8.38232 , 0.00000 , 16.65167 , 1.21069 , 5.00000 , 0.93681 , 16.88408 , quad , -2.80186 , 21.04844 
9095 , 594981 , 239.41716 , 12.82841 , 1.29986 , 17.59384 , 134.69991 , 86.61057 , 8.97999 ,  , 8.97989 , 0.00000 , 8.97999 , 4.93435 , 5.00000 , 0.86404 , 18.29235 , quad , -6.13663 , 259.63127 
9096 , 200030 , 204.48781 , 7.07599 , 0.39946 , 19.24219 , 192.50562 , 56.37475 , 12.83371 ,  , 4.95319 , 0.00000 , 12.83371 , 4.08899 , 5.00000 , 0.93118 , 15.33177 , quad , 6.72403 , 400.08706 
9097 , 23301 , 346.85135 , 5.98783 , 1.63884 , 7.82484 , 110.64593 , 67.65155 , 7.37640 ,  , 4.19148 , 0.00000 , 7.37640 , 1.40306 , 5.00000 , 0.96385 , 15.60060 , quad , 5.75464 , 150.94272 
9098 , 83598 , 154.05914 , 8.23169 , 2.37954 , 7.16337 , 196.40182 , 18.18239 , 13.09345 ,  , 5.76218 , 0.00000 , 13.09345 , 3.36524 , 5.00000 , 0.81599 , 16.99127 , quad , -6.54595 , 217.44132 
9099 , 691262 , 193.56269 , 8.75956 , 2.37414 , 15.56124 , 249.17054 , 62.99314 , 16.61137 ,  , 6.13169 , 0.00000 , 16.61137 , 4.76606 , 5.00000 , 0.82748 , 18.00049 , quad , -2.69972 , 123.86315 
9100 , 711254 , 233.97965 , 10.69405 , 0.72407 , 7.24379 , 253.33181 , 89.72152 , 16.88879 ,  , 5.34702 , 0.00000 , 16.88879 , 5.42956 , 1.00000 , 0.90795 , 16.72342 , quad , 5.11430 , 51.48516 
9101 , 273095 , 158.43273 , 9.88459 , 1.48040 , 12.20647 , 174.42221 , 93.57114 , 11.62815 ,  , 4.94229 , 0.00000 , 11.62815 , 3.70748 , 1.00000 , 0.81624 , 17.13859 , quad , -6.47118 , 200.89918 
9102 , 37302 , 110.00830 , 13.11092 , 2.61696 , 11.18794 , 264.14561 , 52.48210 , 17.60971 ,  , 6.55546 , 0.00000 , 17.60971 , 6.19484 , 1.00000 , 0.91117 , 16.48997 , quad , -8.91779 , 249.88858 
9103 , 319452 , 104.41112 , 8.63732 , 2.24807 , 5.83666 , 131.13958 , 79.96951 , 8.74264 ,  , 4.31866 , 0.00000 , 8.74264 , 0.21913 , 1.00000 , 0.97743 , 16.50263 , quad , 4.76097 , 298.20084 
9104 , 235733 , 133.26618 , 8.84688 , 2.81153 , 13.87405 , 169.09426 , 8.98567 , 11.27295 ,  , 4.42344 , 0.00000 , 11.27295 , 4.53266 , 1.00000 , 0.81647 , 18.16620 , quad , -1.21595 , 348.66323 
9105 , 10244 , 218.74964 , 7.56823 , 1.98678 , 8.66489 , 277.54847 , 95.79190 , 18.50323 ,  , 3.78412 , 0.00000 , 18.50323 , 4.87020 , 1.00000 , 0.93264 , 15.37360 , quad , -0.11402 , 281.67294 
